Fernando Henrique;12345678900;;360.00;0.00;2640.00
Giselle Garcia;23456789011;;630.00;307.07;3562.93
Isabella Machado;73864039327;;969.99;800.79;5157.73
Gabriel Marochi;92257252084;;1090.04;1426.53;6497.77
Joao Vitor Marins;09095646199;;630.11;307.25;3563.42
Lorrane Aló;08249688461;;1090.04;1356.63;6313.48
Isabela Nascimento;21376822830;;408.00;71.68;2920.32
Felipe Costa;73248358249;;714.03;454.42;3931.75
Mariana Silva;39871038597;;1071.13;1103.72;5476.05
Lucas Pereira;59323565319;;672.07;267.73;3860.70
Ana Almeida;68979336113;;1090.04;1551.50;6258.46
Pedro Almeida;14578521033;;390.06;49.26;2811.18
Carlos Ferreira;98745632145;;1090.04;1612.45;6798.31
Juliana Santos;12365478901;;868.00;652.59;4679.41
Isabela Oliveira;96325874100;;1090.04;1144.73;5565.23
Felipe Rodrigues;25896314785;;574.07;259.84;3266.59
Mariana Oliveira;74185296300;;1090.04;1337.23;6072.73
Lucas Costa;98745632100;;812.00;646.86;4341.14
Ana Souza;14725836901;;474.09;98.18;3378.48
Pedro Ferreira;85214796300;;1022.00;1007.23;5270.77
Juliana Almeida;04587963215;;644.00;372.23;3583.77
Carlos Oliveira;25896314789;;1090.04;1372.89;5787.57
